Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000022, 0.000000, -0.000011, 0.000000, 0.042424, 0.062500
0.255000, 0.000041, 0.000001, -0.000020, 0.000000, 0.046150, 0.062500
0.260000, 0.000077, 0.000002, -0.000038, 0.000000, 0.049917, 0.062500
0.265000, 0.000139, 0.000004, -0.000068, 0.000000, 0.053726, 0.062500
0.270000, 0.000244, 0.000007, -0.000118, 0.000000, 0.057588, 0.062500
0.275000, 0.000415, 0.000014, -0.000201, 0.000000, 0.061519, 0.062500
0.280000, 0.000686, 0.000026, -0.000330, 0.000000, 0.065544, 0.062500
0.285000, 0.001102, 0.000047, -0.000528, 0.000000, 0.069694, 0.062500
0.290000, 0.001719, 0.000083, -0.000818, 0.000000, 0.074001, 0.062500
0.295000, 0.002608, 0.000145, -0.001232, 0.000000, 0.078500, 0.062500
0.300000, 0.003849, 0.000247, -0.001801, 0.000000, 0.083226, 0.062500
0.305000, 0.005531, 0.000410, -0.002561, 0.000000, 0.088210, 0.062500
0.310000, 0.007744, 0.000666, -0.003539, 0.000000, 0.093479, 0.062500
0.315000, 0.010574, 0.001059, -0.004758, 0.000000, 0.099053, 0.062500
0.320000, 0.014094, 0.001648, -0.006223, 0.000000, 0.104946, 0.125000
0.325000, 0.018358, 0.002509, -0.007924, 0.000000, 0.111162, 0.125000
0.330000, 0.023398, 0.003742, -0.009828, 0.000000, 0.117695, 0.125000
0.335000, 0.029218, 0.005467, -0.011875, 0.000000, 0.124531, 0.125000
0.340000, 0.035800, 0.007826, -0.013987, 0.000000, 0.131643, 0.125000
0.345000, 0.043107, 0.010985, -0.016061, 0.062500, 0.138994, 0.125000
0.350000, 0.051086, 0.015124, -0.017981, 0.062500, 0.146536, 0.125000
0.355000, 0.059683, 0.020435, -0.019624, 0.062500, 0.154213, 0.125000
0.360000, 0.068841, 0.027112, -0.020865, 0.062500, 0.161960, 0.125000
0.365000, 0.078507, 0.035339, -0.021584, 0.062500, 0.169705, 0.125000
0.370000, 0.088631, 0.045285, -0.021673, 0.062500, 0.177375, 0.187500
0.375000, 0.099164, 0.057082, -0.021041, 0.062500, 0.184894, 0.187500
0.380000, 0.110053, 0.070827, -0.019613, 0.062500, 0.192190, 0.250000
0.385000, 0.121235, 0.086565, -0.017335, 0.125000, 0.199198, 0.250000
0.390000, 0.132633, 0.104289, -0.014172, 0.125000, 0.205864, 0.250000
0.395000, 0.144156, 0.123939, -0.010108, 0.125000, 0.212148, 0.250000
0.400000, 0.155700, 0.145403, -0.005148, 0.125000, 0.218026, 0.250000
0.405000, 0.167154, 0.168523, +0.000685, 0.125000, 0.223495, 0.250000
0.410000, 0.178411, 0.193107, +0.007348, 0.187500, 0.228573, 0.250000
0.415000, 0.189374, 0.218933, +0.014780, 0.250000, 0.233300, 0.250000
0.420000, 0.199970, 0.245766, +0.022898, 0.250000, 0.237739, 0.250000
0.425000, 0.210157, 0.268562, +0.029202, 0.250000, 0.241974, 0.250000
0.430000, 0.219934, 0.290436, +0.035251, 0.250000, 0.246109, 0.250000
0.435000, 0.229344, 0.313039, +0.041848, 0.250000, 0.250265, 0.250000
0.440000, 0.238471, 0.336284, +0.048907, 0.250000, 0.254581, 0.250000
0.445000, 0.247442, 0.360065, +0.056312, 0.250000, 0.259203, 0.250000
0.450000, 0.256419, 0.384262, +0.063922, 0.250000, 0.264290, 0.250000
0.455000, 0.265587, 0.408737, +0.071575, 0.250000, 0.270000, 0.250000
0.460000, 0.275146, 0.433338, +0.079096, 0.250000, 0.276494, 0.250000
0.465000, 0.285299, 0.457898, +0.086300, 0.250000, 0.283926, 0.250000
0.470000, 0.296242, 0.482243, +0.093001, 0.250000, 0.292437, 0.250000
0.475000, 0.308149, 0.506192, +0.099021, 0.250000, 0.302158, 0.250000
0.480000, 0.321169, 0.529562, +0.104197, 0.250000, 0.313196, 0.250000
0.485000, 0.335414, 0.552180, +0.108383, 0.250000, 0.325637, 0.250000
0.490000, 0.350957, 0.573880, +0.111461, 0.250000, 0.339538, 0.250000
0.495000, 0.367830, 0.594520, +0.113345, 0.250000, 0.354927, 0.250000
0.500000, 0.386022, 0.613978, +0.113978, 0.312500, 0.371802, 0.312500
0.505000, 0.405480, 0.632170, +0.113345, 0.312500, 0.390129, 0.312500
0.510000, 0.426120, 0.649043, +0.111461, 0.312500, 0.409843, 0.312500
0.515000, 0.447820, 0.664586, +0.108383, 0.375000, 0.430852, 0.375000
0.520000, 0.470438, 0.678831, +0.104197, 0.437500, 0.453040, 0.375000
0.525000, 0.493808, 0.691851, +0.099021, 0.500000, 0.476269, 0.500000
0.530000, 0.517757, 0.703758, +0.093001, 0.500000, 0.500384, 0.500000
0.535000, 0.542102, 0.714701, +0.086300, 0.562500, 0.525222, 0.500000
0.540000, 0.566662, 0.724854, +0.079096, 0.562500, 0.550609, 0.562500
0.545000, 0.591263, 0.734413, +0.071575, 0.562500, 0.576371, 0.562500
0.550000, 0.615738, 0.743581, +0.063922, 0.625000, 0.602333, 0.625000
0.555000, 0.639935, 0.752558, +0.056312, 0.687500, 0.628325, 0.687500
0.560000, 0.663716, 0.761529, +0.048907, 0.687500, 0.654182, 0.687500
0.565000, 0.686961, 0.770656, +0.041848, 0.687500, 0.679746, 0.687500
0.570000, 0.709564, 0.780066, +0.035251, 0.750000, 0.704869, 0.687500
0.575000, 0.731438, 0.789843, +0.029202, 0.750000, 0.729409, 0.750000
0.580000, 0.754234, 0.800030, +0.022898, 0.750000, 0.753236, 0.750000
0.585000, 0.781067, 0.810626, +0.014780, 0.750000, 0.776226, 0.750000
0.590000, 0.806893, 0.821589, +0.007348, 0.875000, 0.798269, 0.875000
0.595000, 0.831477, 0.832846, +0.000685, 0.875000, 0.819265, 0.875000
0.600000, 0.854597, 0.844300, -0.005148, 0.937500, 0.839126, 0.875000
0.605000, 0.876061, 0.855844, -0.010108, 0.937500, 0.857777, 0.937500
0.610000, 0.895711, 0.867367, -0.014172, 0.937500, 0.875159, 0.937500
0.615000, 0.913435, 0.878765, -0.017335, 1.000000, 0.891231, 0.937500
0.620000, 0.929173, 0.889947, -0.019613, 1.000000, 0.905967, 0.937500
0.625000, 0.942918, 0.900836, -0.021041, 1.000000, 0.919362, 1.000000
0.630000, 0.954715, 0.911369, -0.021673, 1.000000, 0.931427, 1.000000
0.635000, 0.964661, 0.921493, -0.021584, 1.000000, 0.942191, 1.000000
0.640000, 0.972888, 0.931159, -0.020865, 1.000000, 0.951702, 1.000000
0.645000, 0.979565, 0.940317, -0.019624, 1.000000, 0.960022, 1.000000
0.650000, 0.984876, 0.948914, -0.017981, 1.000000, 0.967223, 1.000000
0.655000, 0.989015, 0.956893, -0.016061, 1.000000, 0.973390, 1.000000
0.660000, 0.992174, 0.964200, -0.013987, 1.000000, 0.978613, 1.000000
0.665000, 0.994533, 0.970782, -0.011875, 1.000000, 0.982988, 1.000000
0.670000, 0.996258, 0.976602, -0.009828, 1.000000, 0.986611, 1.000000
0.675000, 0.997491, 0.981642, -0.007924, 1.000000, 0.989576, 1.000000
0.680000, 0.998352, 0.985906, -0.006223, 1.000000, 0.991973, 1.000000
0.685000, 0.998941, 0.989426, -0.004758, 1.000000, 0.993889, 1.000000
0.690000, 0.999334, 0.992256, -0.003539, 1.000000, 0.995400, 1.000000
0.695000, 0.999590, 0.994469, -0.002561, 1.000000, 0.996578, 1.000000
0.700000, 0.999753, 0.996151, -0.001801, 1.000000, 0.997485, 1.000000
0.705000, 0.999855, 0.997392, -0.001232, 1.000000, 0.998173, 1.000000
0.710000, 0.999917, 0.998281, -0.000818, 1.000000, 0.998689, 1.000000
0.715000, 0.999953, 0.998898, -0.000528, 1.000000, 0.999071, 1.000000
0.720000, 0.999974, 0.999314, -0.000330, 1.000000, 0.999350, 1.000000
0.725000, 0.999986, 0.999585, -0.000201, 1.000000, 0.999551, 1.000000
0.730000, 0.999993, 0.999756, -0.000118, 1.000000, 0.999694, 1.000000
0.735000, 0.999996, 0.999861, -0.000068, 1.000000, 0.999794, 1.000000
0.740000, 0.999998, 0.999923, -0.000038, 1.000000, 0.999863, 1.000000
0.745000, 0.999999, 0.999959, -0.000020, 1.000000, 0.999910, 1.000000
0.750000, 1.000000, 0.999978, -0.000011, 1.000000, 0.999942, 1.000000
