Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000930, 0.000000, -0.000465, 0.000000, 0.097952, 0.142857
0.255000, 0.001602, 0.000000, -0.000801, 0.000000, 0.104086, 0.142857
0.260000, 0.002663, 0.000000, -0.001332, 0.000000, 0.109772, 0.142857
0.265000, 0.004271, 0.000000, -0.002135, 0.000000, 0.114960, 0.142857
0.270000, 0.006612, 0.000001, -0.003306, 0.000000, 0.119621, 0.142857
0.275000, 0.009888, 0.000001, -0.004944, 0.000000, 0.123743, 0.142857
0.280000, 0.014292, 0.000002, -0.007145, 0.000000, 0.127332, 0.142857
0.285000, 0.019979, 0.000005, -0.009987, 0.000000, 0.130409, 0.142857
0.290000, 0.027037, 0.000009, -0.013514, 0.000000, 0.133006, 0.142857
0.295000, 0.035451, 0.000016, -0.017717, 0.000000, 0.135164, 0.142857
0.300000, 0.045089, 0.000029, -0.022530, 0.000000, 0.136929, 0.142857
0.305000, 0.055697, 0.000052, -0.027823, 0.000000, 0.138351, 0.142857
0.310000, 0.066914, 0.000089, -0.033412, 0.000000, 0.139479, 0.142857
0.315000, 0.078310, 0.000152, -0.039079, 0.142857, 0.140359, 0.142857
0.320000, 0.089434, 0.000252, -0.044591, 0.142857, 0.141036, 0.142857
0.325000, 0.099868, 0.000412, -0.049728, 0.142857, 0.141548, 0.142857
0.330000, 0.109269, 0.000659, -0.054305, 0.142857, 0.141931, 0.142857
0.335000, 0.117410, 0.001035, -0.058187, 0.142857, 0.142213, 0.142857
0.340000, 0.124183, 0.001595, -0.061294, 0.142857, 0.142418, 0.142857
0.345000, 0.129598, 0.002411, -0.063594, 0.142857, 0.142567, 0.142857
0.350000, 0.133762, 0.003578, -0.065092, 0.142857, 0.142677, 0.142857
0.355000, 0.136842, 0.005212, -0.065815, 0.142857, 0.142761, 0.142857
0.360000, 0.139038, 0.007458, -0.065790, 0.142857, 0.142831, 0.142857
0.365000, 0.140555, 0.010482, -0.065036, 0.142857, 0.142899, 0.142857
0.370000, 0.141580, 0.014478, -0.063551, 0.142857, 0.142975, 0.142857
0.375000, 0.142274, 0.019657, -0.061308, 0.142857, 0.143071, 0.142857
0.380000, 0.142768, 0.026246, -0.058261, 0.142857, 0.143204, 0.142857
0.385000, 0.143167, 0.034473, -0.054347, 0.142857, 0.143390, 0.142857
0.390000, 0.143553, 0.044562, -0.049495, 0.142857, 0.143654, 0.142857
0.395000, 0.143995, 0.056719, -0.043638, 0.142857, 0.144026, 0.142857
0.400000, 0.144555, 0.071117, -0.036719, 0.142857, 0.144545, 0.142857
0.405000, 0.145296, 0.087885, -0.028705, 0.142857, 0.145258, 0.142857
0.410000, 0.146285, 0.107100, -0.019593, 0.142857, 0.146225, 0.142857
0.415000, 0.147598, 0.128777, -0.009411, 0.142857, 0.147519, 0.142857
0.420000, 0.149320, 0.152865, +0.001773, 0.142857, 0.149223, 0.142857
0.425000, 0.151549, 0.179252, +0.013851, 0.142857, 0.151437, 0.142857
0.430000, 0.154393, 0.207760, +0.026684, 0.142857, 0.154273, 0.142857
0.435000, 0.157970, 0.238161, +0.040096, 0.142857, 0.157854, 0.142857
0.440000, 0.162403, 0.270179, +0.053888, 0.142857, 0.162312, 0.142857
0.445000, 0.167822, 0.303505, +0.067842, 0.142857, 0.167788, 0.142857
0.450000, 0.174481, 0.337809, +0.081664, 0.142857, 0.174423, 0.142857
0.455000, 0.182559, 0.372746, +0.095093, 0.142857, 0.182354, 0.142857
0.460000, 0.192148, 0.407971, +0.107911, 0.142857, 0.191712, 0.142857
0.465000, 0.203396, 0.443146, +0.119875, 0.142857, 0.202613, 0.142857
0.470000, 0.216432, 0.477945, +0.130756, 0.142857, 0.215152, 0.142857
0.475000, 0.231370, 0.512060, +0.140345, 0.142857, 0.229401, 0.142857
0.480000, 0.248295, 0.545210, +0.148458, 0.142857, 0.245401, 0.142857
0.485000, 0.267265, 0.577137, +0.154936, 0.142857, 0.263162, 0.142857
0.490000, 0.288305, 0.607616, +0.159655, 0.142857, 0.282660, 0.142857
0.495000, 0.311404, 0.636452, +0.162524, 0.142857, 0.303837, 0.142857
0.500000, 0.336513, 0.663487, +0.163487, 0.285714, 0.326602, 0.285714
0.505000, 0.363548, 0.688596, +0.162524, 0.428571, 0.350836, 0.285714
0.510000, 0.392384, 0.711695, +0.159655, 0.428571, 0.376393, 0.428571
0.515000, 0.422863, 0.732735, +0.154936, 0.428571, 0.403106, 0.428571
0.520000, 0.454790, 0.751705, +0.148458, 0.428571, 0.430795, 0.428571
0.525000, 0.487940, 0.768630, +0.140345, 0.428571, 0.459267, 0.428571
0.530000, 0.522055, 0.783568, +0.130756, 0.428571, 0.488325, 0.428571
0.535000, 0.556854, 0.796604, +0.119875, 0.571429, 0.517771, 0.428571
0.540000, 0.592029, 0.807852, +0.107911, 0.714286, 0.547411, 0.571429
0.545000, 0.627254, 0.817441, +0.095093, 0.714286, 0.577055, 0.571429
0.550000, 0.662191, 0.825519, +0.081664, 0.714286, 0.606522, 0.714286
0.555000, 0.696495, 0.832178, +0.067842, 0.714286, 0.635639, 0.714286
0.560000, 0.729821, 0.837597, +0.053888, 0.714286, 0.664244, 0.714286
0.565000, 0.761839, 0.842030, +0.040096, 0.857143, 0.692185, 0.714286
0.570000, 0.792240, 0.845607, +0.026684, 0.857143, 0.719317, 0.714286
0.575000, 0.820748, 0.848451, +0.013851, 0.857143, 0.745509, 0.714286
0.580000, 0.847135, 0.850680, +0.001773, 1.000000, 0.770639, 0.857143
0.585000, 0.871223, 0.852402, -0.009411, 1.000000, 0.794595, 0.857143
0.590000, 0.892900, 0.853715, -0.019593, 1.000000, 0.817279, 0.857143
0.595000, 0.912115, 0.854704, -0.028705, 1.000000, 0.838604, 0.857143
0.600000, 0.928883, 0.855445, -0.036719, 1.000000, 0.858500, 0.857143
0.605000, 0.943281, 0.856005, -0.043638, 1.000000, 0.876914, 1.000000
0.610000, 0.955438, 0.856447, -0.049495, 1.000000, 0.893812, 1.000000
0.615000, 0.965527, 0.856833, -0.054347, 1.000000, 0.909177, 1.000000
0.620000, 0.973754, 0.857232, -0.058261, 1.000000, 0.923017, 1.000000
0.625000, 0.980343, 0.857726, -0.061308, 1.000000, 0.935359, 1.000000
0.630000, 0.985522, 0.858420, -0.063551, 1.000000, 0.946250, 1.000000
0.635000, 0.989518, 0.859445, -0.065036, 1.000000, 0.955756, 1.000000
0.640000, 0.992542, 0.860962, -0.065790, 1.000000, 0.963960, 1.000000
0.645000, 0.994788, 0.863158, -0.065815, 1.000000, 0.970958, 1.000000
0.650000, 0.996422, 0.866238, -0.065092, 1.000000, 0.976855, 1.000000
0.655000, 0.997589, 0.870402, -0.063594, 1.000000, 0.981764, 1.000000
0.660000, 0.998405, 0.875817, -0.061294, 1.000000, 0.985798, 1.000000
0.665000, 0.998965, 0.882590, -0.058187, 1.000000, 0.989071, 1.000000
0.670000, 0.999341, 0.890731, -0.054305, 1.000000, 0.991691, 1.000000
0.675000, 0.999588, 0.900132, -0.049728, 1.000000, 0.993760, 1.000000
0.680000, 0.999748, 0.910566, -0.044591, 1.000000, 0.995373, 1.000000
0.685000, 0.999848, 0.921690, -0.039079, 1.000000, 0.996613, 1.000000
0.690000, 0.999911, 0.933086, -0.033412, 1.000000, 0.997552, 1.000000
0.695000, 0.999948, 0.944303, -0.027823, 1.000000, 0.998254, 1.000000
0.700000, 0.999971, 0.954911, -0.022530, 1.000000, 0.998771, 1.000000
0.705000, 0.999984, 0.964549, -0.017717, 1.000000, 0.999146, 1.000000
0.710000, 0.999991, 0.972963, -0.013514, 1.000000, 0.999415, 1.000000
0.715000, 0.999995, 0.980021, -0.009987, 1.000000, 0.999605, 1.000000
0.720000, 0.999998, 0.985708, -0.007145, 1.000000, 0.999737, 1.000000
0.725000, 0.999999, 0.990112, -0.004944, 1.000000, 0.999827, 1.000000
0.730000, 0.999999, 0.993388, -0.003306, 1.000000, 0.999888, 1.000000
0.735000, 1.000000, 0.995729, -0.002135, 1.000000, 0.999928, 1.000000
0.740000, 1.000000, 0.997337, -0.001332, 1.000000, 0.999955, 1.000000
0.745000, 1.000000, 0.998398, -0.000801, 1.000000, 0.999972, 1.000000
0.750000, 1.000000, 0.999070, -0.000465, 1.000000, 0.999983, 1.000000
