Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.000059, 0.000000, -0.000030
0.255000, 0.000112, 0.000000, -0.000056
0.260000, 0.000205, 0.000000, -0.000103
0.265000, 0.000364, 0.000000, -0.000182
0.270000, 0.000627, 0.000001, -0.000313
0.275000, 0.001045, 0.000001, -0.000522
0.280000, 0.001690, 0.000003, -0.000844
0.285000, 0.002650, 0.000005, -0.001323
0.290000, 0.004034, 0.000009, -0.002012
0.295000, 0.005959, 0.000017, -0.002971
0.300000, 0.008552, 0.000030, -0.004261
0.305000, 0.011925, 0.000053, -0.005936
0.310000, 0.016169, 0.000091, -0.008039
0.315000, 0.021332, 0.000155, -0.010589
0.320000, 0.027409, 0.000258, -0.013576
0.325000, 0.034328, 0.000420, -0.016954
0.330000, 0.041953, 0.000672, -0.020640
0.335000, 0.050092, 0.001055, -0.024518
0.340000, 0.058514, 0.001625, -0.028444
0.345000, 0.066976, 0.002458, -0.032259
0.350000, 0.075250, 0.003649, -0.035801
0.355000, 0.083151, 0.005320, -0.038916
0.360000, 0.090553, 0.007619, -0.041467
0.365000, 0.097406, 0.010723, -0.043342
0.370000, 0.103733, 0.014834, -0.044450
0.375000, 0.109621, 0.020178, -0.044721
0.380000, 0.115205, 0.026998, -0.044103
0.385000, 0.120645, 0.035545, -0.042550
0.390000, 0.126109, 0.046065, -0.040022
0.395000, 0.131747, 0.058788, -0.036480
0.400000, 0.137685, 0.073911, -0.031887
0.405000, 0.144010, 0.091586, -0.026212
0.410000, 0.150771, 0.111902, -0.019435
0.415000, 0.157985, 0.134875, -0.011555
0.420000, 0.165637, 0.160443, -0.002597
0.425000, 0.173702, 0.188455, +0.007377
0.430000, 0.182147, 0.218683, +0.018268
0.435000, 0.190949, 0.250816, +0.029933
0.440000, 0.200104, 0.284480, +0.042188
0.445000, 0.209633, 0.319251, +0.054809
0.450000, 0.219593, 0.353090, +0.066748
0.455000, 0.230071, 0.382840, +0.076384
0.460000, 0.241186, 0.412798, +0.085806
0.465000, 0.253079, 0.442693, +0.094807
0.470000, 0.265909, 0.472254, +0.103172
0.475000, 0.279839, 0.501217, +0.110689
0.480000, 0.295023, 0.529336, +0.117156
0.485000, 0.311601, 0.556387, +0.122393
0.490000, 0.329681, 0.582176, +0.126248
0.495000, 0.349336, 0.606552, +0.128608
0.500000, 0.370598, 0.629402, +0.129402
0.505000, 0.393448, 0.650664, +0.128608
0.510000, 0.417824, 0.670319, +0.126248
0.515000, 0.443613, 0.688399, +0.122393
0.520000, 0.470664, 0.704977, +0.117156
0.525000, 0.498783, 0.720161, +0.110689
0.530000, 0.527746, 0.734091, +0.103172
0.535000, 0.557307, 0.746921, +0.094807
0.540000, 0.587202, 0.758814, +0.085806
0.545000, 0.617160, 0.769929, +0.076384
0.550000, 0.646910, 0.780407, +0.066748
0.555000, 0.680749, 0.790367, +0.054809
0.560000, 0.715520, 0.799896, +0.042188
0.565000, 0.749184, 0.809051, +0.029933
0.570000, 0.781317, 0.817853, +0.018268
0.575000, 0.811545, 0.826298, +0.007377
0.580000, 0.839557, 0.834363, -0.002597
0.585000, 0.865125, 0.842015, -0.011555
0.590000, 0.888098, 0.849229, -0.019435
0.595000, 0.908414, 0.855990, -0.026212
0.600000, 0.926089, 0.862315, -0.031887
0.605000, 0.941212, 0.868253, -0.036480
0.610000, 0.953935, 0.873891, -0.040022
0.615000, 0.964455, 0.879355, -0.042550
0.620000, 0.973002, 0.884795, -0.044103
0.625000, 0.979822, 0.890379, -0.044721
0.630000, 0.985166, 0.896267, -0.044450
0.635000, 0.989277, 0.902594, -0.043342
0.640000, 0.992381, 0.909447, -0.041467
0.645000, 0.994680, 0.916849, -0.038916
0.650000, 0.996351, 0.924750, -0.035801
0.655000, 0.997542, 0.933024, -0.032259
0.660000, 0.998375, 0.941486, -0.028444
0.665000, 0.998945, 0.949908, -0.024518
0.670000, 0.999328, 0.958047, -0.020640
0.675000, 0.999580, 0.965672, -0.016954
0.680000, 0.999742, 0.972591, -0.013576
0.685000, 0.999845, 0.978668, -0.010589
0.690000, 0.999909, 0.983831, -0.008039
0.695000, 0.999947, 0.988075, -0.005936
0.700000, 0.999970, 0.991448, -0.004261
0.705000, 0.999983, 0.994041, -0.002971
0.710000, 0.999991, 0.995966, -0.002012
0.715000, 0.999995, 0.997350, -0.001323
0.720000, 0.999997, 0.998310, -0.000844
0.725000, 0.999999, 0.998955, -0.000522
0.730000, 0.999999, 0.999373, -0.000313
0.735000, 1.000000, 0.999636, -0.000182
0.740000, 1.000000, 0.999795, -0.000103
0.745000, 1.000000, 0.999888, -0.000056
0.750000, 1.000000, 0.999941, -0.000030
