Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.000011, 0.000621, +0.000305, 0.000000, 0.044421, 0.037736
0.255000, 0.000021, 0.001065, +0.000522, 0.000000, 0.048928, 0.037736
0.260000, 0.000040, 0.001767, +0.000864, 0.000000, 0.053607, 0.037736
0.265000, 0.000074, 0.002837, +0.001381, 0.000000, 0.058444, 0.056604
0.270000, 0.000132, 0.004408, +0.002138, 0.000000, 0.063425, 0.056604
0.275000, 0.000230, 0.006639, +0.003205, 0.000000, 0.068537, 0.056604
0.280000, 0.000388, 0.009701, +0.004656, 0.000000, 0.073771, 0.094340
0.285000, 0.000638, 0.013767, +0.006564, 0.000000, 0.079122, 0.094340
0.290000, 0.001021, 0.018995, +0.008987, 0.000000, 0.084587, 0.094340
0.295000, 0.001590, 0.025512, +0.011961, 0.000000, 0.090171, 0.094340
0.300000, 0.002413, 0.033396, +0.015491, 0.000000, 0.095881, 0.094340
0.305000, 0.003570, 0.042660, +0.019545, 0.000000, 0.101731, 0.094340
0.310000, 0.005153, 0.053248, +0.024048, 0.000000, 0.107740, 0.094340
0.315000, 0.007260, 0.065029, +0.028885, 0.000000, 0.113933, 0.113208
0.320000, 0.009994, 0.077809, +0.033908, 0.000000, 0.120336, 0.113208
0.325000, 0.013453, 0.091344, +0.038946, 0.000000, 0.126984, 0.113208
0.330000, 0.017725, 0.105361, +0.043818, 0.000000, 0.133912, 0.113208
0.335000, 0.022883, 0.119583, +0.048350, 0.000000, 0.141158, 0.132075
0.340000, 0.028977, 0.133753, +0.052388, 0.000000, 0.148760, 0.132075
0.345000, 0.036033, 0.147657, +0.055812, 0.018868, 0.156758, 0.150943
0.350000, 0.044054, 0.161137, +0.058541, 0.018868, 0.165185, 0.169811
0.355000, 0.053024, 0.174101, +0.060539, 0.037736, 0.174075, 0.169811
0.360000, 0.062908, 0.186521, +0.061806, 0.037736, 0.183450, 0.169811
0.365000, 0.073666, 0.198427, +0.062381, 0.056604, 0.193328, 0.169811
0.370000, 0.085252, 0.209894, +0.062321, 0.094340, 0.203714, 0.169811
0.375000, 0.097626, 0.220814, +0.061594, 0.094340, 0.214603, 0.169811
0.380000, 0.110757, 0.227625, +0.058434, 0.094340, 0.225978, 0.188679
0.385000, 0.124619, 0.234664, +0.055023, 0.113208, 0.237810, 0.188679
0.390000, 0.139197, 0.241955, +0.051379, 0.113208, 0.250056, 0.188679
0.395000, 0.154480, 0.249515, +0.047518, 0.132075, 0.262666, 0.264151
0.400000, 0.170454, 0.257363, +0.043454, 0.150943, 0.275580, 0.264151
0.405000, 0.187100, 0.265508, +0.039204, 0.169811, 0.288731, 0.283019
0.410000, 0.204383, 0.273961, +0.034789, 0.169811, 0.302050, 0.301887
0.415000, 0.222255, 0.282724, +0.030235, 0.169811, 0.315469, 0.339623
0.420000, 0.240645, 0.291799, +0.025577, 0.188679, 0.328923, 0.358491
0.425000, 0.259465, 0.301181, +0.020858, 0.188679, 0.342350, 0.377358
0.430000, 0.278608, 0.310867, +0.016130, 0.264151, 0.355699, 0.377358
0.435000, 0.297953, 0.320848, +0.011448, 0.283019, 0.368926, 0.377358
0.440000, 0.317373, 0.331117, +0.006872, 0.339623, 0.381996, 0.396226
0.445000, 0.336741, 0.341667, +0.002463, 0.358491, 0.394887, 0.415094
0.450000, 0.355935, 0.352491, -0.001722, 0.377358, 0.407583, 0.415094
0.455000, 0.374844, 0.363586, -0.005629, 0.377358, 0.420077, 0.415094
0.460000, 0.393376, 0.374950, -0.009213, 0.415094, 0.432371, 0.452830
0.465000, 0.411456, 0.386585, -0.012435, 0.415094, 0.444470, 0.452830
0.470000, 0.429031, 0.398499, -0.015266, 0.452830, 0.456384, 0.452830
0.475000, 0.446070, 0.410702, -0.017684, 0.452830, 0.468124, 0.471698
0.480000, 0.462558, 0.423211, -0.019674, 0.471698, 0.479706, 0.471698
0.485000, 0.478498, 0.436045, -0.021226, 0.490566, 0.491144, 0.490566
0.490000, 0.493906, 0.449231, -0.022337, 0.490566, 0.502454, 0.490566
0.495000, 0.508805, 0.462796, -0.023005, 0.509434, 0.513652, 0.509434
0.500000, 0.523227, 0.476773, -0.023227, 0.547170, 0.524755, 0.547170
0.505000, 0.537204, 0.491195, -0.023005, 0.547170, 0.535777, 0.547170
0.510000, 0.550769, 0.506094, -0.022337, 0.566038, 0.546736, 0.547170
0.515000, 0.563955, 0.521502, -0.021226, 0.566038, 0.557646, 0.566038
0.520000, 0.576789, 0.537442, -0.019674, 0.566038, 0.568521, 0.566038
0.525000, 0.589298, 0.553930, -0.017684, 0.584906, 0.579375, 0.566038
0.530000, 0.601501, 0.570969, -0.015266, 0.603774, 0.590216, 0.584906
0.535000, 0.613415, 0.588544, -0.012435, 0.622642, 0.601051, 0.603774
0.540000, 0.625050, 0.606624, -0.009213, 0.622642, 0.611881, 0.622642
0.545000, 0.636414, 0.625156, -0.005629, 0.622642, 0.622702, 0.622642
0.550000, 0.647509, 0.644065, -0.001722, 0.622642, 0.633506, 0.622642
0.555000, 0.658333, 0.663259, +0.002463, 0.641509, 0.644275, 0.622642
0.560000, 0.668883, 0.682627, +0.006872, 0.679245, 0.654991, 0.622642
0.565000, 0.679152, 0.702047, +0.011448, 0.698113, 0.665628, 0.660377
0.570000, 0.689133, 0.721392, +0.016130, 0.698113, 0.676157, 0.698113
0.575000, 0.698819, 0.740535, +0.020858, 0.716981, 0.686548, 0.698113
0.580000, 0.708201, 0.759355, +0.025577, 0.716981, 0.696772, 0.698113
0.585000, 0.717276, 0.777745, +0.030235, 0.754717, 0.706803, 0.716981
0.590000, 0.726039, 0.795617, +0.034789, 0.754717, 0.716618, 0.735849
0.595000, 0.734492, 0.812900, +0.039204, 0.754717, 0.726202, 0.754717
0.600000, 0.742637, 0.829546, +0.043454, 0.754717, 0.735548, 0.754717
0.605000, 0.750485, 0.845520, +0.047518, 0.773585, 0.744658, 0.773585
0.610000, 0.758045, 0.860803, +0.051379, 0.773585, 0.753544, 0.773585
0.615000, 0.765336, 0.875381, +0.055023, 0.773585, 0.762227, 0.773585
0.620000, 0.772375, 0.889243, +0.058434, 0.773585, 0.770736, 0.773585
0.625000, 0.779186, 0.902374, +0.061594, 0.773585, 0.779107, 0.773585
0.630000, 0.790106, 0.914748, +0.062321, 0.773585, 0.787383, 0.773585
0.635000, 0.801573, 0.926334, +0.062381, 0.811321, 0.795608, 0.811321
0.640000, 0.813479, 0.937092, +0.061806, 0.811321, 0.803827, 0.811321
0.645000, 0.825899, 0.946976, +0.060539, 0.811321, 0.812079, 0.811321
0.650000, 0.838863, 0.955946, +0.058541, 0.830189, 0.820403, 0.811321
0.655000, 0.852343, 0.963967, +0.055812, 0.830189, 0.828825, 0.811321
0.660000, 0.866247, 0.971023, +0.052388, 0.849057, 0.837363, 0.830189
0.665000, 0.880417, 0.977117, +0.048350, 0.867925, 0.846024, 0.830189
