Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.001508, 0.000000, -0.000754, 0.000000, 0.063543, 0.000000
0.255000, 0.002539, 0.000000, -0.001269, 0.000000, 0.070642, 0.000000
0.260000, 0.004119, 0.000000, -0.002060, 0.000000, 0.077753, 0.142857
0.265000, 0.006443, 0.000000, -0.003222, 0.000000, 0.084766, 0.142857
0.270000, 0.009722, 0.000000, -0.004861, 0.000000, 0.091575, 0.142857
0.275000, 0.014160, 0.000000, -0.007080, 0.000000, 0.098084, 0.142857
0.280000, 0.019925, 0.000001, -0.009962, 0.000000, 0.104210, 0.142857
0.285000, 0.027108, 0.000001, -0.013553, 0.000000, 0.109885, 0.142857
0.290000, 0.035695, 0.000003, -0.017846, 0.000000, 0.115063, 0.142857
0.295000, 0.045544, 0.000005, -0.022769, 0.000000, 0.119712, 0.142857
0.300000, 0.056382, 0.000009, -0.028186, 0.000000, 0.123824, 0.142857
0.305000, 0.067825, 0.000017, -0.033904, 0.000000, 0.127403, 0.142857
0.310000, 0.079417, 0.000030, -0.039693, 0.142857, 0.130470, 0.142857
0.315000, 0.090683, 0.000052, -0.045315, 0.142857, 0.133060, 0.142857
0.320000, 0.101188, 0.000090, -0.050549, 0.142857, 0.135212, 0.142857
0.325000, 0.110587, 0.000151, -0.055218, 0.142857, 0.136975, 0.142857
0.330000, 0.118658, 0.000249, -0.059204, 0.142857, 0.138398, 0.142857
0.335000, 0.125308, 0.000403, -0.062453, 0.142857, 0.139533, 0.142857
0.340000, 0.130571, 0.000642, -0.064965, 0.142857, 0.140429, 0.142857
0.345000, 0.134575, 0.001004, -0.066786, 0.142857, 0.141134, 0.142857
0.350000, 0.137510, 0.001542, -0.067984, 0.142857, 0.141691, 0.142857
0.355000, 0.139593, 0.002327, -0.068633, 0.142857, 0.142142, 0.142857
0.360000, 0.141044, 0.003452, -0.068796, 0.142857, 0.142527, 0.142857
0.365000, 0.142060, 0.005032, -0.068514, 0.142857, 0.142882, 0.142857
0.370000, 0.142812, 0.007211, -0.067800, 0.142857, 0.143247, 0.142857
0.375000, 0.143441, 0.010161, -0.066640, 0.142857, 0.143659, 0.142857
0.380000, 0.144063, 0.014080, -0.064991, 0.142857, 0.144162, 0.142857
0.385000, 0.144776, 0.019193, -0.062792, 0.142857, 0.144804, 0.142857
0.390000, 0.145618, 0.025741, -0.059938, 0.142857, 0.145638, 0.142857
0.395000, 0.146659, 0.033979, -0.056340, 0.142857, 0.146726, 0.142857
0.400000, 0.148009, 0.044157, -0.051926, 0.142857, 0.148138, 0.142857
0.405000, 0.149739, 0.056513, -0.046613, 0.142857, 0.149954, 0.142857
0.410000, 0.151933, 0.071253, -0.040340, 0.142857, 0.152262, 0.142857
0.415000, 0.154681, 0.088537, -0.033072, 0.142857, 0.155156, 0.142857
0.420000, 0.158084, 0.108464, -0.024810, 0.142857, 0.158739, 0.142857
0.425000, 0.162248, 0.131060, -0.015594, 0.142857, 0.163116, 0.142857
0.430000, 0.167283, 0.156268, -0.005508, 0.142857, 0.168390, 0.142857
0.435000, 0.173305, 0.183949, +0.005322, 0.142857, 0.174664, 0.142857
0.440000, 0.180427, 0.213880, +0.016727, 0.142857, 0.182032, 0.142857
0.445000, 0.188762, 0.245765, +0.028501, 0.142857, 0.190575, 0.142857
0.450000, 0.198418, 0.279244, +0.040413, 0.142857, 0.200364, 0.142857
0.455000, 0.209498, 0.313916, +0.052209, 0.142857, 0.211450, 0.142857
0.460000, 0.222096, 0.349352, +0.063628, 0.142857, 0.223866, 0.142857
0.465000, 0.236299, 0.385121, +0.074411, 0.142857, 0.237625, 0.142857
0.470000, 0.252183, 0.420802, +0.084309, 0.142857, 0.252725, 0.142857
0.475000, 0.269813, 0.456005, +0.093096, 0.142857, 0.269145, 0.142857
0.480000, 0.289244, 0.490383, +0.100569, 0.285714, 0.286852, 0.285714
0.485000, 0.310516, 0.523638, +0.106561, 0.285714, 0.305802, 0.285714
0.490000, 0.333653, 0.555527, +0.110937, 0.285714, 0.325947, 0.285714
0.495000, 0.358656, 0.585859, +0.113601, 0.285714, 0.347233, 0.285714
0.500000, 0.385504, 0.614496, +0.114496, 0.428571, 0.369607, 0.428571
0.505000, 0.414141, 0.641344, +0.113601, 0.428571, 0.393015, 0.428571
0.510000, 0.444473, 0.666347, +0.110937, 0.428571, 0.417402, 0.428571
0.515000, 0.476362, 0.689484, +0.106561, 0.428571, 0.442711, 0.428571
0.520000, 0.509617, 0.710756, +0.100569, 0.428571, 0.468880, 0.428571
0.525000, 0.543995, 0.730187, +0.093096, 0.428571, 0.495835, 0.428571
0.530000, 0.579198, 0.747817, +0.084309, 0.571429, 0.523489, 0.428571
0.535000, 0.614879, 0.763701, +0.074411, 0.571429, 0.551736, 0.428571
0.540000, 0.650648, 0.777904, +0.063628, 0.714286, 0.580447, 0.571429
0.545000, 0.686084, 0.790502, +0.052209, 0.714286, 0.609469, 0.571429
0.550000, 0.720756, 0.801582, +0.040413, 0.714286, 0.638626, 0.571429
0.555000, 0.754235, 0.811238, +0.028501, 0.857143, 0.667717, 0.714286
0.560000, 0.786120, 0.819573, +0.016727, 0.857143, 0.696523, 0.714286
0.565000, 0.816051, 0.826695, +0.005322, 1.000000, 0.724814, 0.714286
0.570000, 0.843732, 0.832717, -0.005508, 1.000000, 0.752356, 0.714286
0.575000, 0.868940, 0.837752, -0.015594, 1.000000, 0.778915, 0.857143
0.580000, 0.891536, 0.841916, -0.024810, 1.000000, 0.804273, 0.857143
0.585000, 0.911463, 0.845319, -0.033072, 1.000000, 0.828234, 0.857143
0.590000, 0.928747, 0.848067, -0.040340, 1.000000, 0.850630, 1.000000
0.595000, 0.943487, 0.850261, -0.046613, 1.000000, 0.871330, 1.000000
0.600000, 0.955843, 0.851991, -0.051926, 1.000000, 0.890240, 1.000000
0.605000, 0.966021, 0.853341, -0.056340, 1.000000, 0.907313, 1.000000
0.610000, 0.974259, 0.854382, -0.059938, 1.000000, 0.922540, 1.000000
0.615000, 0.980807, 0.855224, -0.062792, 1.000000, 0.935954, 1.000000
0.620000, 0.985920, 0.855937, -0.064991, 1.000000, 0.947621, 1.000000
0.625000, 0.989839, 0.856559, -0.066640, 1.000000, 0.957640, 1.000000
0.630000, 0.992789, 0.857188, -0.067800, 1.000000, 0.966133, 1.000000
0.635000, 0.994968, 0.857940, -0.068514, 1.000000, 0.973237, 1.000000
0.640000, 0.996548, 0.858956, -0.068796, 1.000000, 0.979100, 1.000000
0.645000, 0.997673, 0.860407, -0.068633, 1.000000, 0.983876, 1.000000
0.650000, 0.998458, 0.862490, -0.067984, 1.000000, 0.987712, 1.000000
0.655000, 0.998996, 0.865425, -0.066786, 1.000000, 0.990751, 1.000000
0.660000, 0.999358, 0.869429, -0.064965, 1.000000, 0.993126, 1.000000
0.665000, 0.999597, 0.874692, -0.062453, 1.000000, 0.994956, 1.000000
0.670000, 0.999751, 0.881342, -0.059204, 1.000000, 0.996347, 1.000000
0.675000, 0.999849, 0.889413, -0.055218, 1.000000, 0.997388, 1.000000
0.680000, 0.999910, 0.898812, -0.050549, 1.000000, 0.998158, 1.000000
0.685000, 0.999948, 0.909317, -0.045315, 1.000000, 0.998717, 1.000000
0.690000, 0.999970, 0.920583, -0.039693, 1.000000, 0.999119, 1.000000
0.695000, 0.999983, 0.932175, -0.033904, 1.000000, 0.999403, 1.000000
0.700000, 0.999991, 0.943618, -0.028186, 1.000000, 0.999601, 1.000000
0.705000, 0.999995, 0.954456, -0.022769, 1.000000, 0.999737, 1.000000
0.710000, 0.999997, 0.964305, -0.017846, 1.000000, 0.999829, 1.000000
0.715000, 0.999999, 0.972892, -0.013553, 1.000000, 0.999890, 1.000000
0.720000, 0.999999, 0.980075, -0.009962, 1.000000, 0.999931, 1.000000
0.725000, 1.000000, 0.985840, -0.007080, 1.000000, 0.999957, 1.000000
0.730000, 1.000000, 0.990278, -0.004861, 1.000000, 0.999973, 1.000000
0.735000, 1.000000, 0.993557, -0.003222, 1.000000, 0.999984, 1.000000
0.740000, 1.000000, 0.995881, -0.002060, 1.000000, 0.999990, 1.000000
0.745000, 1.000000, 0.997461, -0.001269, 1.000000, 0.999994, 1.000000
0.750000, 1.000000, 0.998492, -0.000754, 1.000000, 0.999997, 1.000000
